,tweets ago,BBC,CBS,CNN,Fox,New York Times
0,99,-0.8047,-0.3182,-0.7964,-0.4939,0.7184
1,98,0.8225,0.3612,0.3401,-0.4019,-0.3612
2,97,0.0,-0.7783,0.7717,-0.4404,0.0
3,96,-0.3182,0.1027,-0.6486,0.4767,-0.128
4,95,0.4019,0.6351,0.0,-0.4588,-0.2263
5,94,-0.3182,-0.7783,-0.0516,-0.0516,0.0
6,93,-0.4199,0.0,0.8316,0.0,0.1027
7,92,0.0,0.0,-0.4648,0.0,-0.3182
8,91,-0.0516,-0.3182,-0.5413,0.0,0.5653
9,90,-0.2244,0.0,0.2018,0.0,0.0
10,89,0.0,-0.3182,0.0,0.0,-0.4767
11,88,-0.0516,0.0,-0.2732,0.0,-0.5106
12,87,-0.3182,-0.4215,-0.0772,0.4767,-0.3612
13,86,-0.0516,-0.5859,0.0,0.0,-0.34
14,85,-0.3182,0.0,-0.7456,0.2263,-0.3818
15,84,0.4926,-0.296,-0.0258,0.0,0.0
16,83,0.3365,0.0,-0.7034,-0.5106,0.4404
17,82,0.0,0.0,-0.34,0.0,0.0
18,81,-0.4184,-0.5106,0.0772,0.0382,0.6705
19,80,0.0,0.0,0.0,0.0,0.0
20,79,0.2962,0.0,-0.1531,0.5754,-0.4939
21,78,0.0,-0.4215,0.0,0.4215,0.4939
22,77,0.3182,-0.7783,-0.0258,0.0,0.296
23,76,0.4404,0.0,-0.5994,0.6739,0.0
24,75,0.3802,-0.4215,-0.5707,-0.872,0.0
25,74,0.4404,-0.8402,-0.6988,0.6249,0.3612
26,73,0.0,0.0,-0.7506,0.0,-0.2263
27,72,0.0,-0.6326,0.0,0.0,-0.4767
28,71,-0.296,0.5106,-0.5413,-0.6597,0.0
29,70,-0.431,0.1779,0.0,0.6249,0.5653
30,69,0.8646,0.0258,0.1779,0.3749,0.5653
31,68,0.0,0.0,0.0772,-0.7271,-0.34
32,67,-0.0516,0.0,0.0,0.5994,-0.4278
33,66,0.296,0.0,-0.7088,0.0,-0.2263
34,65,0.296,0.0,-0.4215,0.0,0.5653
35,64,0.0,0.0,0.4404,0.6808,0.0
36,63,0.0,-0.3182,-0.1027,0.7717,0.6369
37,62,-0.296,0.0,0.6369,0.0,-0.8588
38,61,0.6486,0.0,0.2263,0.25,0.4767
39,60,0.0,0.0,0.0,-0.4404,0.4019
40,59,0.0,0.0,-0.5696,-0.7271,0.128
41,58,-0.0516,0.7724,-0.4767,-0.5574,0.0
42,57,0.5162,0.0,-0.6535,0.6219,0.0
43,56,0.0,-0.5106,0.3182,-0.7964,0.2263
44,55,0.0,0.0,0.5994,0.296,0.0
45,54,0.0,-0.71,-0.5267,0.4019,0.0
46,53,0.1027,-0.7783,0.4019,0.5719,0.7506
47,52,0.25,-0.7783,-0.4754,0.0,0.6114
48,51,0.0,-0.7783,-0.6249,0.4215,0.5653
49,50,-0.5106,0.0,0.1027,0.0,0.296
50,49,0.0,0.796,0.0,0.128,0.0
51,48,-0.0516,-0.6249,-0.4767,-0.4404,0.0516
52,47,0.0,0.0,0.0,0.0,0.0
53,46,0.3802,-0.2912,0.0,0.6656,-0.4404
54,45,0.0,0.4019,0.0,0.0,-0.2263
55,44,0.0,-0.4215,0.0,0.0,0.0
56,43,0.0,-0.4767,-0.4767,0.7345,0.0
57,42,0.7761,0.0,-0.4588,0.0,0.0
58,41,-0.0516,-0.4215,-0.5267,0.0,0.0
59,40,0.3802,-0.5106,-0.1027,-0.1689,0.2023
60,39,0.0,-0.7783,0.0,-0.4404,0.5653
61,38,0.296,0.2732,-0.296,0.0258,0.5653
62,37,0.0,0.228,0.5994,0.4404,0.296
63,36,0.4404,-0.5106,-0.7456,-0.4404,0.0
64,35,-0.4019,0.0,-0.4588,0.1779,0.0
65,34,0.0,0.0,-0.6331,-0.2944,0.1779
66,33,-0.4767,0.0772,0.3252,0.0,0.6027
67,32,-0.3182,0.0,0.0,0.4804,0.0
68,31,-0.0516,0.3182,0.5994,0.0,0.0
69,30,0.8646,-0.4404,-0.7964,0.0,0.0
70,29,-0.3818,-0.552,0.5667,-0.5994,0.0
71,28,0.0,-0.5106,-0.5413,0.0,0.0
72,27,0.4215,-0.4215,-0.6808,0.8561,0.6822
73,26,-0.0516,-0.3612,-0.5413,0.0,0.0
74,25,0.3612,0.0,0.0,-0.4404,0.0
75,24,0.0,-0.7616,0.0,0.0258,0.0
76,23,0.0,0.0,0.3612,0.0,0.0
77,22,-0.0516,-0.7783,0.34,0.4588,0.0
78,21,-0.296,0.0,0.0516,0.4215,0.0
79,20,0.3485,0.0,-0.5255,0.0,-0.2263
80,19,-0.0772,-0.4215,-0.8316,0.8655,0.0
81,18,0.4404,0.0,0.5744,0.0,0.0
82,17,0.0,-0.4215,-0.5267,0.4215,0.9169
83,16,0.3818,0.0,0.1007,0.0258,0.0
84,15,-0.1739,-0.4215,-0.5719,-0.6808,0.5719
85,14,0.0,0.0,0.0772,-0.4404,-0.3182
86,13,-0.8923,-0.4215,-0.4767,-0.4019,0.0
87,12,0.0,-0.296,0.0,0.0,0.4404
88,11,0.7845,0.0,-0.2023,0.0,0.0
89,10,0.0,0.0,0.3182,0.0,0.5653
90,9,0.4939,0.0,-0.5413,0.0,-0.296
91,8,0.7127,0.0,0.25,0.0,0.4019
92,7,0.0,0.4404,0.0,0.0,0.5653
93,6,-0.0516,0.1027,0.0,0.6333,0.0
94,5,0.4019,-0.7783,-0.7845,-0.802,0.5653
95,4,0.0,-0.7783,-0.1027,0.0,0.5653
96,3,-0.0516,-0.7783,0.0,0.0,0.5653
97,2,-0.0516,-0.4215,0.5574,-0.1689,-0.3818
98,1,-0.0516,0.0,0.4019,0.6833,0.0
99,0,0.0,0.0,0.2263,-0.596,0.0
